ID_event,Event_Type,Event_Description,Event_Strength,Geographic_Impact,Start_date,End_date,Precise_Date_Start,Precise_Date_End,Season,Chronological_precision,Lat,Lon,Modern_Location_Name,Ancient_Location_Name,Spatial_Precision,Extra_Notes,Paleoenvironmental_Comparison
23,7,"Il cronista indica nel luglio del 1230 un'invasione di cavallette a Montecassino che raggiunse nel 1231 la Puglia e tutto il Regno, tale da devastare i campi di grano",2,4,1230,1231,31/07/1230,4/1/1231,Estate,4,,,Montecassino/Puglia/Regno,,FALSE,,
24,4,Il cronista indica all'anno 1234 una forte grandinata con neve e una tempesta in Puglia nel 1234 tali da aver causato una carestia,1,4,1234,1234,1/1/1234,28/02/1234,Inverno,4,,,Puglia,Apulia,FALSE,,
25,2,L'atto datato 9 aprile 1269 indica una carestia in Terra di Lavoro e in Terra di Bari,2,3,1269,1269,9/4/1269,9/4/1269,Primavera,5,,,Terra di Lavoro/Terra di Bari,Terra Laboris/Terra de Bari,FALSE,"Essendo l'atto notarile datato 9 aprile 1269, non sappiamo bene la data precisa di inizio e di fine dell'evento",
26,2,L'atto datato 29 ottobre 1269 indica una carestia nel Regno a causa della quale vengono ordinati dei pagamenti,2,4,1269,1269,29/10/1269,29/10/1269,Autunno,5,,,Regno,Regnum,FALSE,"Essendo l'atto notarile datato 29 ottobre 1269, non sappiamo bene la data precisa di inizio e di fine dell'evento",
27,2,L'atto datato 23 maggio 1270 indica una carestia nel Regno per la quale viene stanziata una somma di denaro,2,4,1270,1270,23/05/1270,23/05/1270,Primavera,5,,,Regno,Regnum,FALSE,"Essendo l'atto notarile datato 23 maggio 1270, non sappiamo bene la data precisa di inizio e di fine dell'evento",
28,2,L'atto datato 1272 indica che a causa della carestia nel Regno erano state aumentate le provviste degli ufficiali,1,4,1272,1272,,,,5,,,Regno,Regnum,FALSE,,
29,2,L'atto datato 18 maggio 1274 indica una carestia a Lucera,1,1,1274,1274,18/05/1274,18/05/1274,Primavera,5,41.50772092,15.33551896,Lucera,Luceria,TRUE,"Essendo l'atto notarile datato 18 maggio 1274, non sappiamo bene la data precisa di inizio e di fine dell'evento",
30,15,Naufragio prima del 1° novembre 1281 di una galea genovese presso il porto di San Pietro in Bevagna,1,1,1281,1281,1/11/1281,1/11/1281,Autunno,5,40.307,17.6725,San Pietro di Bevagna,Sanctum Petrum de Bavanga,TRUE,,
31,15,Naufragio prima del 9 aprile 1281 di una galea pisana presso l'isola di Achanay distante 40 miglia da Corfù,1,1,1281,1281,9/4/1281,9/4/1281,Primavera,5,,,Isola di Acaia (?),Insula Achanay,TRUE,,
32,2,L'atto datato 27 marzo 1292 consiste in una permuta disposta in tempo di grande carestia a Brindisi,1,1,1292,1292,27/03/1292,27/03/1292,Primavera,5,40.38,17.56,Brindisi,Brundisium,TRUE,,
33,2,Carestia in tutto il Regno nel 1310,1,4,1310,1310,19/08/1310,19/08/1310,Estate,5,,,Regno,Regnum,FALSE,,
34,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità in Puglia,2,3,1315,1315,31/05/1315,31/05/1315,Primavera,5,,,Puglia,Apulia,FALSE,,
35,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità a Calaggio,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,41.05890033,15.3498391,Calaggio,,TRUE,,
36,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità a Domicella,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,40.87918553,14.58823228,Domicella,,TRUE,,
37,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità in San Marco in Ordona,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,41.19,15.38,San Marco di Ordona,,TRUE,,
38,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità a Foggia,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,41.27,15.33,Foggia,,TRUE,,
39,7,"Invasione di cavallette in Capitanata, Terra di Bari, Terra d'Otranto e Basilicata nel 1320",2,3,1320,1320,23/05/1320,23/05/1320,Primavera,5,,,Capitanata/Terra di Bari/ Terra d'Otranto/Basilicata,,FALSE,,
40,1,L'atto datato 26 febbraio 1325 indica una siccità in Terra di Bari,3,4,1325,1325,26/02/1325,26/02/1325,Inverno,5,,,Terra di Bari,,FALSE,,
41,8,Calore eccessivo tra il 1323 e il 1325 in Terra di Bari,3,4,1325,1325,26/02/1325,26/02/1325,Inverno,5,,,Terra di Bari,,FALSE,,
42,9,Freddo eccessivo tra il 1323 e il 1325 in Terra di Bari,3,4,1325,1325,26/02/1325,26/02/1325,Inverno,5,,,Terra di Bari,,FALSE,,
43,2,L'atto notarile datato 11 aprile 1340 indica come una coppia di Polignano fu costretta a vendere 24 oliveti a causa della carestia allora in corso,1,1,1340,1340,11/4/1340,11/4/1340,,5,40.99135929,17.22350147,Polignano,,TRUE,,
44,7,Invasione di cavallette nel 1359 nelle campagne di Brindisi,1,3,1359,1359,,,,3,40.63257314,17.9341357,Brindisi,,TRUE,,
45,7,Invasione di cavallette nel 1362 a Montecassino e in Puglia,2,4,1362,1365,1/8/1362,1365,Estate,3,,,Montecassino/Puglia,,FALSE,,
46,7,L'atto datato 3 agosto 1464 c'informa di un'invasione di cavallette a Gallipoli,2,1,1464,1464,1/8/1464,31/08/1464,,5,40.05469231,17.9923151,Gallipoli,,TRUE,,
47,8,"Il cronista indica all'anno 1475, il 27 agosto, l'avvenimento di un calore eccessivo a Lecce tale da seccare tutte le vigne",2,1,1475,1475,27/08/1475,27/08/1475,Estate,5,40.35459999,18.16702035,Lecce,,TRUE,,
48,7,Il cronista indica all'anno 1478 un'invasione di cavallette a Lecce tale da distruggere tutte le vigne,2,1,1478,1478,,,,3,40.35459999,18.16702035,Lecce,,TRUE,,
49,9,Il cronista indica all'anno 1478 l'avvenimento di un freddo eccessivo a Lecce tale da provcare un'alta mortalità di pesce in mare,2,1,1478,1478,,,,3,40.35459999,18.16702035,Lecce,,TRUE,,
50,5,"Il cronista indica all'anno 1190 che vi furono 'forti pioggie' ma omette il luogo, probabilmente si riferisce all'Italia",3,4,1190,1190,,,,3,,,Italia,Italia,FALSE,,
51,2,Il cronista indica all'anno 1375 una grande carestia di vettovaglie in Puglia e che a Lecce il tumolo di grano salì a 13 tarì,3,3,1375,1375,,,,3,,,Puglia,Apulia,FALSE,,
52,11,"Il cronista indica all'anno 1385, il lunedì primo di gennaio, un'eclissi solare iniziata alle ore 17, con tanto di apparizione di stelle cadenti, durata fino a mezzanotte",1,4,1385,1385,1/1/1385,1/1/1385,Inverno,5,,,Italia,Italia,FALSE,,
53,14,Il cronista indica all'anno 1455 nel mese di gennaio l'avvenimento di una serie di 'grandi' terremoti in tutto il Regno e anche in Terra d'Otranto per diversi giorni tale da distruggere diversi luoghi e obbligare le persone ad abitare in paviglioni anche nelle campagne,3,4,1455,1455,1/1/1455,31/01/1455,Inverno,5,,,Regno/Terra d'Otranto,Regnum/Terra Hydronti,FALSE,"Evento schedato anche dal CFTI5Med, con data 4-5 dicembre 1456. Link: https://storing.ingv.it/cfti/cfti5/quake.php?D0413IT Molto ben documentato dalle fonti scritte, epigrafiche e archeologiche.",
54,7,Il cronista indica all'anno 1468 un'invasione di cavallette avvenuta nel Regno fino in Terra d'Otranto durata diversi anni che mangiarono soprattutto i grani e i legumi,3,4,1468,1468,,,,3,,,Regno/Terra d'Otranto,Regnum/Terra Hydronti,FALSE,,
55,4,Il cronista indica all'anno 1468 una nevicata avvenuta a Lecce tale da seccare gli olivi e gli aranci dopo la quale morirono anche molti uccelli,2,1,1468,1468,,,,3,40.35459999,18.16702035,Lecce,,TRUE,,
56,2,I diversi atti datato tra il 1327 e il 1330 indicano una carestia in Abruzzo e in tutto il Regno,2,4,1327,1330,,,,3,,,Abruzzo/Regno,,FALSE,,
57,2,L'atto datato 20 agosto 1339 indica una carestia a Lucera,2,1,1339,1339,20/08/1339,20/08/1339,Estate,5,41.50772143,15.33381979,Lucera,Luceria,TRUE,,
58,2,I diversi atti datato tra il 1338 e il 1340 indicano una carestia nel Regno,2,4,1338,1340,,,,3,,,Regno,Regnum,FALSE,,
59,2,L'atto datato 4 aprile 1341 indica una carestia a Lucera,2,1,1341,1341,4/4/1341,4/4/1341,Primavera,5,41.50772143,15.33381979,Lucera,Luceria,TRUE,,
60,4,"Il cronista indica all'anno 1268, nella metà di aprile, l'avvenimento nel Regno di una forte nevicata che durò due giorni e due notti, seguita da un forte gelo che distrusse le vigne",3,4,1269,1269,15/04/1269,17/04/1269,Primavera,5,,,Regno,Regnum,FALSE,,
61,8,"L'atto del 15 agosto 1280 indica un calore eccessivo in Capitanata, in particolare a Lucera, che provocò una carenza di pascoli tale da indurre il mastro massaro delle aziende regie a dichiarare di non poter fornire l'orzo necessario per i cavalli",2,4,1280,1280,15/08/1280,15/08/1280,Estate,5,41.50772143,15.33381979,Capitanata/Lucera,,FALSE,,
62,2,Il cronista indica intorno al 1280 che una grande carestia di vino e frumento aveva colpito Foggia tale da spostare altrove il parlamento generale convocato nella stessa città,2,1,1280,1280,,,,3,41.46044205,15.54340446,Foggia,,TRUE,,
63,8,"Il cronista indica all'anno 1208, durante la stagione estiva, che il calore era così intenso in Puglia che gli era loro impossibile recarvici personalmente",2,4,1208,1208,,,Estate,4,,,Puglia,Apulia,FALSE,,
64,17,"L'atto del 30 maggio 1278 indica come i campi delle masserie regie situati presso la Fiumara del fiume Ofanto, in Capitanata, siano stati devastati dai topi ",2,1,1278,1278,30/05/1278,30/05/1278,Primavera,5,41.35571241,16.20946848,Fiumara,Flumaria,TRUE,,
65,1,L'atto del 31 maggio 1288 indica che i campi della masseria regia di Visciglieto (in Capitanata) sono stati danneggiati dalla siccità e dal gelo ,2,1,1288,1288,31/05/1288,31/05/1288,Primavera,5,41.56388556,15.34863339,Visciglieto,Bisselletum,TRUE,,
66,9,L'atto del 31 maggio 1288 indica che i campi della masseria regia di Visciglieto (in Capitanata) sono stati danneggiati dalla siccità e dal gelo ,2,1,1288,1288,31/05/1288,31/05/1288,Primavera,5,41.56388556,15.34863339,Visciglieto,Bisselletum,TRUE,,
67,2,L'atto indica intorno agli anni 1290-1291 l'avvenimento di una peste e di una carestia in Terra d'Otranto,1,3,1290,1291,,,,3,40.14351289,18.47360262,Terra d'Otranto,Terra Hydronti,FALSE,,
68,17,L'atto del 30 giugno 1306 indica come il grano e l'orzo dei campi della masseria regia di Monteserico siano stati devastati dai topi,1,1,1306,1306,30/06/1306,30/06/1306,Estate,5,40.85462828,16.15140629,Monteserico,Montesselicola,TRUE,,
69,10,"L'atto del 19 maggio 1307 indica come due testimoni esperti agricoli abbiano dichiarato che due salme di fave raccolte nella masseria del duca di Calabria a San Nicola ""de Aufido"" sono andate perdute e che il grano e l'orzo nei campi siano stati bruciati dal favonio",2,1,1307,1307,19/05/1307,19/05/1307,Primavera,5,41.06858661,15.68147573,San Nicola di Melfi,S. Nicolai de Aufido,TRUE,,
70,2,Si registra nel giugno del 1329 un carestia di grave entità in Terra d'Otranto,2,3,1329,1329,1/6/1329,30/06/1329,Primavera/Estate,5,40.14351289,18.47360262,Terra d'Otranto,Terra Hydronti,FALSE,,
71,2,L'atto datato 27 maggio 1269 indica come vengano richieste centocinquanta salme di vettovaglie a causa della loro grande penuria per l'esercito che stava assediando Lucera. Vengono trasportate prima a Termoli per poi arrivare via mare a Siponto.,2,1,1269,1269,27/05/1269,27/05/1269,Primavera,5,41.50772143,15.33381979,Lucera,Luceria,TRUE,L'atto non adotta il termina 'carestia' ma che lo sia lo si deduce dall'evento n. 72,
72,2,L'atto datato 14 luglio 1269 indica le somme dovute per le spese sostenute da diversi ufficiali durante la carestia che aveva colpito Lucera,2,1,1269,1269,14/07/1269,14/07/1269,Estate,5,41.50772143,15.33381979,Lucera,Luceria,TRUE,,
73,2,L'annalista indica all'anno 1202 l'avvenimento di una carestia nel Regno che fece molti morti,3,4,1202,1202,,,,3,,,Regno,Regnum,FALSE,,
74,10,"Il cronista indica all'anno 1202, precisamente il 3 di gennaio, l'avvenimento di forti tempeste di venti tali da sradicare alberi, distruggere edifici e case ecc.",3,4,1202,1202,3/1/1202,3/1/1202,Inverno,5,,,Regno,Regnum,FALSE,,
75,2,"Il cronista indica all'anno 1202 una carestia di grano avvenuta in Lombardia, Tuscia, Lazio, Campania per poi raggiungere il Regno, in particolare la Puglia e la Terra di Lavoro",2,4,1202,1202,,,,3,,,Regno/Puglia/Terra di Lavoro,Regnum/Apulia/Terra Laboris,FALSE,,
76,2,"L'atto datato 1272 indica una carestia passata in Abruzzo per la quale gli ufficiali ricevettero delle provvigioni, le quali furono ripristinate a quelle originarie dopo che i campi ritornarono fertili",2,3,1272,1272,,,,3,,,Abruzzo,,FALSE,,
77,2,L'atto datato 7 ottobre 1271 indica una carestia nel Regno alla quale per il momento l'autorità non può ovviare tramite l'apporto di grano,2,4,1271,1271,7/10/1271,7/10/1271,Autunno,5,,,Regno,Regnum,FALSE,,
78,2,L'atto datato 6 febbraio 1270 indica una carestia a Barletta,2,1,1270,1270,6/2/1270,6/2/1270,Inverno,5,41.31455087,16.28239841,Barletta,,TRUE,,
79,2,"L'atto datato 13 marzo 1289 indica come gli abitanti di Villanova, durante una carestia, abbiano impedito a un'imbarcazione di salpare per Brindisi costringendola a vendere loro 50 salme di frumento",2,1,1289,1289,13/03/1289,13/03/1289,Inverno,5,40.78822966,17.59237684,Villanova,Villa Nova,TRUE,,
80,2,"L'atto datato 26 aprile 1289 indica come gli abitanti di Vieste, a causa della carestia, costrinsero un mercante a vedere loro 100 salme di frumento destinate a Brindisi",2,1,1289,1289,26/04/1289,26/04/1289,Primavera,5,41.87980709,16.16681702,Vieste,Vesta,TRUE,,
81,2,"L'atto datato 13 febbraio 1291 indica come, per la mancanza di viveri, i rappresentanti degli abitanti di Bari e Brindisi furono autorizzati a importare cospicue quantità di grano da diverse città",2,1,1291,1291,13/02/1291,13/02/1291,Inverno,5,41.10985286,16.86998503,Bari,,TRUE,,
82,2,L'atto datato 4 marzo 1291 fa menzione di una carestia incombente in Puglia e del prezzo del grano fissato in tarì 1 e gr. 5 e dell'orzo in gr. 15 per tomolo,2,4,1291,1291,4/3/1291,4/3/1291,Inverno,5,,,Puglia,Apulia,FALSE,,
83,2,"L'atto datato 18 novembre 1271 indica una carestia passata in tutto il Regno per la quale gli ufficiali ricevettero delle provvigioni, le quali furono ripristinate a quelle originarie dopo che i campi ritornarono fertili ",2,4,1272,1272,18/11/1272,18/11/1272,Autunno,5,,,Regno,Regnum,FALSE,,
84,2,L'atto datato 4 gennaio 1273 indica una carestia passata nel Regno e si ordina che siano ridotti gli stipendi dei regi ufficiali,2,4,1273,1273,4/1/1273,4/1/1273,Inverno,5,,,Regno,Regnum,FALSE,,
85,2,"L'atto datato 16 marzo 1280 indica che a causa di una carestia di grano e legumi nel Regno, viene ordinato di non far uscire vettovaglie senza espresso comando e di custodire i porti e tutto il litorale della Puglia",2,4,1280,1280,16/03/1280,16/03/1280,Inverno,5,,,Regno,Regnum,FALSE,,
86,2,L'atto datato 15 febbraio 1280 indica una carestia in corso a Dragurio e viene concesso di esportare presso quel Comune del grano senza il pagamento del diritto di uscita in quanto da sempre fedele al re d'Ungheria Ladislao,2,1,1280,1280,15/02/1280,15/02/1280,Inverno,5,,,Dragurio,,TRUE,,
87,2,L'atto datato 1291 indica una penuria di generi alimentari a Monopoli per la quale Carlo Martello ordina di spedire del grano,2,1,1291,1291,,,,3,40.95261921,17.29881232,Monopoli,,TRUE,,
88,5,L'atto notarile datato 15 gennaio 1234 indica la minaccia di un tempo piovoso che avrebbe potuto arrecare danno ad alcuni privilegi scritti della chiesa gravinese ,1,1,1234,1234,15/01/1234,15/01/1234,Inverno,5,40.81867313,16.42,Gravina,Gravina,TRUE,Il fatto stesso che venga citata la minaccia di un tempo piovoso potrebbe significare l'avvenimento di una forte precipitazione fuori dall'ordinario,
89,2,"L'atto datato 1° giugno 1340 indica come, a causa della carestia nel Regno, venga ordinato da re Roberto il divieto di vendita di qualsiasi genere di vettovaglie",2,4,1340,1340,1/6/1340,1/6/1340,Estate,5,,,Regno,Regnum,FALSE,,
90,2,"Il cronista indica all'anno 1286, soprattutto nel mese di aprile e maggio, una grande carestia in tutta Italia",2,4,1286,1286,1/4/1286,31/05/1286,Primavera,5,,,Italia,Italia,FALSE,,
91,4,"Il cronista indica all'anno 1322, nei mesi di novembre, dicembre e gennaio, delle grandi nevicate avvenute in tutta Italia",2,4,1322,1323,1/11/1322,31/01/1323,Autunno/Inverno,5,,,Italia,Italia,FALSE,,
92,1,Il cronista indica all'anno 1322 che per un periodo di otto mesi in Puglia ci fu una grande siccità tale da causare una carestia,2,3,1322,1322,,,,5,,,Puglia,Apulia,FALSE,,
93,2,Il cronista indica all'anno 1346 una carestia in tutta Italia,2,4,1346,1346,,,,3,,,Italia,Italia,FALSE,,
94,14,"Il cronista indica all'anno 1456, alle ore 23 del 4 dicembre, l'avvenimento di un grande terremoto a L'Aquila",3,1,1456,1456,4/12/1456,4/12/1456,Autunno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Vedi sopra. La data dovrebbe essere 1456, non 1455. ",
95,14,"Il cronista indica all'anno 1461, alle ore 5 di notte del 27 novembre, l'avvenimento di un grande terremoto a L'Aquila che ebbe modo di devastare numerose case e diroccare molte chiese",3,1,1461,1461,27/11/1461,27/11/1461,Autunno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
96,14,"Il cronista indica all'anno 1461, alle ore 8 di notte del 17 dicembre, l'avvenimento di un grande terremoto a L'Aquila che ebbe modo di far cadere numerose case già diroccate dal terremoto precedente (n. 95)",3,1,1461,1461,17/12/1461,17/12/1461,Autunno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
97,14,"Il cronista indica all'anno 1462, alle ore 3 del 3 gennaio, l'avvenimento di un grande terremoto a L'Aquila",3,1,1462,1462,3/1/1462,3/1/1462,Inverno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
98,14,"Il cronista indica all'anno 1462, alle ore 6 di notte del 4 gennaio, l'avvenimento di un grande terremoto a L'Aquila",3,1,1462,1462,4/1/1462,4/1/1462,Inverno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
99,2,"Il cronista indica all'anno 1462, nel giorno 25 di febbraio, l'avvento di una grande carestia a L'Aquila",2,1,1462,1462,25/02/1462,25/02/1462,Inverno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
100,14,"Il cronista indica all'anno 1462, alle ore 8 di notte del 27 marzo, l'avvenimento di un grande terremoto a L'Aquila",2,1,1462,1462,27/03/1462,27/03/1462,Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
101,2,"Il cronista indica all'anno 1463, nel giorno 28 marzo, l'avvento di una grande carestia a L'Aquila",2,1,1463,1463,28/03/1463,28/03/1463,Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
102,2,"Il cronista indica all'anno 1463, nel giorno 25 marzo, l'avvento di una grande carestia a Sulmona",2,1,1463,1463,25/03/1463,25/03/1463,Primavera,5,42.05121773,13.92718076,Sulmona,Sermona,TRUE,,
103,4,Il cronista indica tra l'ottobre del 1464 e il marzo del 1465 delle forti nevicate all'Aquila,3,1,1464,1465,20/10/1464,31/03/1465,Autunno/Inverno/Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",
104,4,Il cronista indica che il 31 marzo 1470 ci furono forti nevicate che persistettero fino al 15 aprile,2,1,1470,1470,31/03/1470,15/04/1470,Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",
105,9,Il cronista indica come per tutto marzo del 1470 ci furono grandi freddi,2,1,1470,1470,1/3/1470,31/03/1470,Inverno/Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",
106,10,Il cronista indica come per tutto marzo del 1470 ci furono forti venti,2,1,1470,1470,1/3/1470,31/03/1470,Inverno/Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",
107,5,Il cronista indica che il 15 di aprile del 1470 ci furono pioggie e mal tempo,2,1,1470,1470,15/04/1470,15/04/1470,Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",
108,2,Il cronista indica che il 15 maggio del 1470 ci fu una grande carestia e per questo morirono molte bestie,2,1,1470,1470,15/05/1470,15/05/1470,Primavera,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",
109,14,Il cronista indica una serie di terremoti avvenuti tra il 3 dicembre 1315 e il gennaio del 1316,2,1,1315,1316,3/12/1315,31/01/1316,Inverno,5,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
110,2,Il cronista indica l'avvenimento di una grande carestia all'Aquila nel 1329 tanto che ci fu il bisogno di importare il grano dalla Puglia,2,1,1329,1329,,,,3,42.34885882,13.39711718,L'Aquila,L'Aquila,TRUE,,
111,11,Il cronista indica all'anno 1333 un'eclissi solare in Italia (avvenne il 14 maggio),4,4,1333,1333,15/05/1333,15/05/1333,Primavera,5,,,Italia,Italia,FALSE,,
112,3,L'atto datato 7 giugno 1277 indica come a causa dell'inondazione delle acque ci sarebbe stato uno spostamento dell'alveo del fiume Ofanto,3,1,1277,1277,7/6/1277,7/6/1277,Primavera,5,41.32745032,16.18842757,Fiume Ofanto,Flumen Aufidi,TRUE,,
113,3,L'atto datato 30 gennaio 1270 indica come una forte alluvione abbia prodotto una piena del fiume di Canne distruggendo quasi interamente il ponte costruito su di esso,2,1,1270,1270,30/01/1270,30/01/1270,Inverno,5,41.29333286,16.15678832,Fiume di Canne,Flumen Cannarum,TRUE,"L'ordine di ricostruire il ponte fu emanato il 16 dicembre 1270 (RA, VII, pp. 43-44) mentre il finanziamento il 12 marzo 1271 (RA, VII, p. 61)",
